ppo_delay,fixed_delay,ppo_queue,fixed_queue,ppo_throughput,fixed_throughput,ppo_stops,fixed_stops,ppo_pressure,fixed_pressure
0.08896040397374805,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.020223206327881327,0.9818236679712787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.13636770156724676,0.9637872554534453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14633575711668012,0.9457582830891424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.39238990969879695,0.929857769067072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6257867657250898,0.9144134008913788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8718409183072067,0.8994040165717541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9999612891552583,0.8837189805686801,0.14285714285714285,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.466680384673533,0.8691590605349356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4107406309290806,0.8574678527611816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3376456424427599,0.846771319728689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2546704387582488,0.8301962578964996,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.21987825233377056,0.8167342116598734,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.18907667701477432,0.8011558467220976,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.10120316625707637,0.7852025885399746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02234729186774942,0.7668361020158927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.041733940487379606,0.7518066820243312,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.033011026968106094,0.7369572853521733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.058226118591836684,0.7262401869200186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.36165123037465036,0.7142579499092749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3192461898346763,0.7028635758283694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.27510454189523015,0.6907649813724561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.22309772587627794,0.6771748689960297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2156341043444592,0.6599446954582122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15370182947132158,0.6433746387098254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.10379726436317094,0.6335178300296611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08059237527731555,0.6178650069238387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
